"First Name","Last Name","Contact Number","Email","Source","Assigned By","Pipeline Status","Created Date & Time","Modified Date & Time"
"konika","Shrivastava","-","ssakshi.shrivastava@codiant.com","Invite David e. Taylor","-","pre","Jun 29, 2022 07:10 PM IST","Jun 29, 2022 07:10 PM IST"
"Heens","Thomson","-","sakshi@mailinator.com","Invite David e. Taylor","-","pre","Jun 29, 2022 06:52 PM IST","Jun 29, 2022 06:52 PM IST"
"Kare","User","21212121","Kare@mailinator.com","Contact us","-","Feature","Jun 24, 2022 06:21 PM IST","Jun 24, 2022 06:22 PM IST"
"sakshi","User","987257531771","sakshi21@mailinator.com","Invite David e. Taylor","Mia Thomson","Feature","Jun 20, 2022 02:56 PM IST","Jun 22, 2022 12:08 PM IST"
"Ram","Rahim","-","ram@mailinator.com","Submit prayer request","CRM user2 User","pre","Jun 15, 2022 02:36 PM IST","Jun 15, 2022 02:36 PM IST"
"konika","Nigam","-","rince@mailinator.com","Submit prayer request","Mia Thomson","pre","Jun 14, 2022 12:33 PM IST","Jun 14, 2022 01:05 PM IST"
"freya","wack","-","admeein@codiant.com","Dream interpretation","-","pre","Jun 9, 2022 06:41 PM IST","Jun 22, 2022 12:09 PM IST"
"Rohit","shri","-","bhumi121@mailinator.com","POS","Mia Thomson","pre","Jun 9, 2022 06:19 PM IST","Jun 9, 2022 06:19 PM IST"
"Ichigo","Kurosaki","98765432","abecd@mailinator.com","Dream interpretation","Mia Thomson","Feature","Jun 9, 2022 01:00 PM IST","Jun 22, 2022 12:10 PM IST"
"neel","mukesh","8839026267","admin3@codiant.com","Submit prayer request","Sakshi ERP","Feature","Jun 9, 2022 12:12 PM IST","Jun 9, 2022 12:32 PM IST"
